5,513,35,32,7,32,4,49,49,1,3,24,11,1,1,1,1,66,2,4,2,14,11,42,52,9,15,9,21,4,6,10,11,9,6,1,1,2,,,
,,,2001_JHallCr_JoeHall,2001_JHallCr_NFChetLow,2002_JHallCr_JoeHall,2002_JHallCr_NFChetLow,2003_JHallCr_JoeHall,2003_JHallCr_NFChetLow,2003_NFChetHigh_NFChetHigh,2003_JHallCr_Harbor,2004_JHallCr_JoeHall,2004_JHallCr_NFChetLow,2005_JHallCr_JoeHall,2005_JHallCr_NFChetLow,2006_Coast_CoastSouth,2010_Coast_CoastSouth,2011_HunterCr_CapeSeb,2011_Coast_CoastSouth,2012_NFChetHigh_NFChetHigh,2012_Coast_CoastSouth,2012_Winchuck_WheelerLow,2013_JHallCr_JoeHall,2013_NFChetHigh_BravoCr,2013_NFChetHigh_NFChetHigh,2013_JHallCr_NFChetLow,2013_ChetcoMain_ChetcoMid,2013_JHallCr_Harbor,2013_Winchuck_WheelerLow,2013_PistolRSF_PistolSF,2013_Coast_CoastSouth,2013_Coast_CoastNorth,2014_Coast_CoastNorth,2014_NFChetHigh_NFChetHigh,2014_NFChetHigh_BravoCr,2014_ChetcoMain_ChetcoMid,2014_Coast_CoastSouth,2014_JHallCr_NFChetLow,,,
Ind,Pop,PrMS6A1, ,Pr9C3A1, ,PrMS39A1, ,PrMS45A1, ,PrMS43A1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y
"1004.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09105,-124.2748,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1008.1","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","376","485","",42.10417,-124.25667,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1019.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07409,-124.26298,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1021.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","372","489","",42.07424,-124.26279,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1030.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07435,-124.26372,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1031.1","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","376","485","",42.11197,-124.26287,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1032.1","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","376","485","",42.1119,-124.2629,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1033.1","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","376","465","",42.11215,-124.26276,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1041","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07252,-124.26311,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1044","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07828,-124.26103,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1055","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.06903,-124.26375,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2029.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09106,-124.27482,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2043.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07431,-124.26276,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2091.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2092","2001_JHallCr_JoeHall","165","168","216","226","130","254","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2096","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2099.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2108.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2108.2","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","477","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2110.4","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4088.1","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","376","489","",42.1032,-124.2572,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4089.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.07666,-124.25936,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4120","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4122.4","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4131","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4143.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","489","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4144.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4146.1","2001_JHallCr_JoeHall","165","168","216","226","130","250","166","186","376","485","",42.09114,-124.27432,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"4154","2001_JHallCr_NFChetLow","165","168","216","226","130","250","166","186","380","489","",42.1032,-124.2572,"","","","","","","","","","","","","","","","","","","","","","","","","",""
