"ISOLATE","SAMPLE","LAT","LON","NOTES","ZONE1","ZONE2","YEAR","MLG"
"1004.1","1004",42.09105,-124.2748,"","JoeHall","JHallCr",2001,22
"1008.1","1008",42.10417,-124.25667,"","NFChetLow","JHallCr",2001,22
"1019.1","1019",42.07409,-124.26298,"Est.lat-lon","JoeHall","JHallCr",2001,22
"1021.1","1021",42.07424,-124.26279,"Est.lat-lon","JoeHall","JHallCr",2001,27
"1030.1","1030",42.07435,-124.26372,"","JoeHall","JHallCr",2001,22
"1031.1","1031",42.11197,-124.26287,"","NFChetLow","JHallCr",2001,22
"1032.1","1032",42.1119,-124.2629,"","NFChetLow","JHallCr",2001,22
"1033.1","1033",42.11215,-124.26276,"","NFChetLow","JHallCr",2001,26
"1041","1041",42.07252,-124.26311,"","JoeHall","JHallCr",2001,22
"1044","1044",42.07828,-124.26103,"","JoeHall","JHallCr",2001,22
"1055","1055",42.06903,-124.26375,"","JoeHall","JHallCr",2001,22
"2029.1","2029",42.09106,-124.27482,"","JoeHall","JHallCr",2001,22
"2043.1","2043",42.07431,-124.26276,"","JoeHall","JHallCr",2001,22
"2091.1","2091",42.09114,-124.27432,"","JoeHall","JHallCr",2001,22
"2092","2092",42.09114,-124.27432,"","JoeHall","JHallCr",2001,4
"2096","2096",42.09114,-124.27432,"Est.lat-lon","JoeHall","JHallCr",2001,22
"2099.1","2099",42.09114,-124.27432,"","JoeHall","JHallCr",2001,22
"2108.1","2108",42.09114,-124.27432,"Est.lat-lon","JoeHall","JHallCr",2001,22
"2108.2","2108",42.09114,-124.27432,"Est.lat-lon","JoeHall","JHallCr",2001,24
"2110.4","2110",42.09114,-124.27432,"Est.lat-lon","JoeHall","JHallCr",2001,22
"4088.1","4088",42.1032,-124.2572,"","NFChetLow","JHallCr",2001,21
"4089.1","4089",42.07666,-124.25936,"","JoeHall","JHallCr",2001,22
"4120","4120",42.09114,-124.27432,"","JoeHall","JHallCr",2001,22
"4122.4","4122",42.09114,-124.27432,"","JoeHall","JHallCr",2001,22
